Time (ps),RMSD (nm)
2750.0, 0.3349416
2760.0, 0.3506716
2770.0, 0.313318
2780.0, 0.2940358
2790.0, 0.287329
2800.0, 0.2635914
2810.0, 0.2642549
2820.0, 0.2659056
2830.0, 0.3128642
2840.0, 0.3307804
2850.0, 0.3441502
2860.0, 0.3665847
2870.0, 0.3667514
2880.0, 0.3670952
2890.0, 0.3465665
2900.0, 0.3358306
2910.0, 0.3206657
2920.0, 0.3477782
2930.0, 0.3181942
2940.0, 0.3436784
2950.0, 0.3623176
2960.0, 0.3678102
2970.0, 0.3721237
2980.0, 0.3736395
2990.0, 0.3986389
3000.0, 0.432459
3010.0, 0.3938016
3020.0, 0.3967517
3030.0, 0.3916622
3040.0, 0.3592978
3050.0, 0.3658279
3060.0, 0.3398961
3070.0, 0.3406447
3080.0, 0.3319333
3090.0, 0.3289017
3100.0, 0.3268628
3110.0, 0.3125295
3120.0, 0.3434143
3130.0, 0.3519523
3140.0, 0.3517983
3150.0, 0.3707451
3160.0, 0.3713188
3170.0, 0.3791206
3180.0, 0.3728042
3190.0, 0.3559779
3200.0, 0.3907573
3210.0, 0.4253343
3220.0, 0.3886457
3230.0, 0.3478711
3240.0, 0.3613103
3250.0, 0.3580286
3260.0, 0.3389604
3270.0, 0.3440592
3280.0, 0.3269698
3290.0, 0.3321046
3300.0, 0.3355535
3310.0, 0.3292957
3320.0, 0.3437901
3330.0, 0.3433538
3340.0, 0.3428146
3350.0, 0.338667
3360.0, 0.3511301
3370.0, 0.3568286
3380.0, 0.3476387
3390.0, 0.3535189
3400.0, 0.3446289
3410.0, 0.3328441
3420.0, 0.3209709
3430.0, 0.3122298
3440.0, 0.3076379
3450.0, 0.3094277
3460.0, 0.2900703
3470.0, 0.3003296
3480.0, 0.3117096
3490.0, 0.3076035
3500.0, 0.2965108
3510.0, 0.3391319
3520.0, 0.3406126
3530.0, 0.3067197
3540.0, 0.3368746
3550.0, 0.3307548
3560.0, 0.2636885
3570.0, 0.2765299
3580.0, 0.2816929
3590.0, 0.2643562
3600.0, 0.2518054
3610.0, 0.272662
3620.0, 0.2631551
3630.0, 0.2689468
3640.0, 0.2294918
3650.0, 0.2587355
3660.0, 0.2662252
3670.0, 0.3001471
3680.0, 0.297993
3690.0, 0.2918989
3700.0, 0.3161004
3710.0, 0.3054638
3720.0, 0.3167906
3730.0, 0.3334683
3740.0, 0.323614
3750.0, 0.3156774
3760.0, 0.3070039
3770.0, 0.309565
3780.0, 0.3322821
3790.0, 0.34061
3800.0, 0.3676516
3810.0, 0.3610238
3820.0, 0.3308516
3830.0, 0.3205904
3840.0, 0.3255623
3850.0, 0.2853003
